question,answer,university
সাস্টে কোন কোন মডেলের ক্যালকুলেটর ব্যবহার/ইউজ করা যায়?,সব মডেলের ক্যাল্কুলেটর ইউজ করা যায় প্রোগ্রামেবল ক্যাল্কুলেটর ছাড়া,SUST
সাস্টে এডমিট কার্ডে গেঞ্জি পরা অবস্থায় ছবি আছে।কোন সমস্যা হবে?,কোনো প্রবলেম হবে না।,SUST
সাস্টের কোন কোন ডিপ্ট/ ডিপার্টমেন্ট /বিভাগ আইবি এপ্রোভড/অ্যাপ্রোভড?,Check this http://www.iebbd.org/page/default.aspx?contentid=117&fbclid=IwAR3ObgJyJb5tCQ1r8q5BeiMKMHIg3pze24DkSHNFbnZ2KFzHGimuBcrzoiI,SUST
সাস্টের অফিসের কন্টাক্ট/যোগাযোগ এর নাম্বার টি দরকার?,ভিজিট http://admission.sust.edu/,SUST
সাস্টে মোট কয়টা হল আছে?,৫ টা,SUST
সাস্টে এ ছেলেদের হল কয়টা আছে?,৩ টা,SUST
সাস্টে এ মেয়েদের হল কয়টা আছে?,২ টা(ক্যাম্পাসের ভিতরে) এছাড়া মেয়েদের জন্যে ক্যাম্পাসের বাহিরে ৪-৫ টির মতো হল আছে যেগুলা আসলে ভার্সিটির আন্ডারে পরিচালিত হয়।,SUST
সাস্টের হল এর থাকা খাওয়ার অবস্থা কেমন?,হলে থাকা খাওয়ার দাম অনেক কম। কিন্তু তেমন উন্নতমানের নয়।,SUST
সাস্টের হলে কি মেয়েরা সবাই সিট পায় শুরুতে?,যারা সিলেটের বাইরে থেকে আসে তারা মোটামুটি সিট পায় কারন মেয়েদের ২ টা(ক্যাম্পাসের ভিতরে) হল এছাড়া মেয়েদের জন্যে ক্যাম্পাসের বাহিরে ৪-৫ টির মতো হল আছে যেগুলা আসলে ভার্সিটির আন্ডারে পরিচালিত হয়।,SUST
সাস্টে খেলাধুলার জন্যে কি কি ব্যবস্থা আছে?,"খেলাধুলার জন্যে ৩ টি মাঠ, একটি জিমনেশিয়াম রয়েছে ।",SUST
সাস্টের অডিটরিয়ামের ধারনক্ষমতা কেমন?,প্রায় ১৫০০ এর মত,SUST
সাস্টে কি কি খেলার মাঠ আছে?,"একটি হ্যান্ডবল গ্রাউন্ড, একটি বাস্কেটবল গ্রাউন্ড এবং একটি সেন্ট্রাল ফিল্ড রয়েছে সাস্টে।",SUST
সাস্টে কি কি খেলা হয়?,"সাস্টে প্রতিবছর ক্রিকেট, ফুটবল, বাস্কেটবল,হ্যান্ডবল টুর্নামেন্ট(ছেলে+মেয়ে) এবং বার্ষিক ক্রীড়া প্রতিযোগিতা হয়।এছাড়া ডিপ্ট ভিত্তিক খেলাধুলা থেকে শুরু করে ইনডোর গেমস সবকিছুই হয়।",SUST
সাস্টে কি কনসার্ট/কন্সার্ট হয়?,"হুম সাস্টে প্রতিবছর ই বেশ কয়েকটা ,দেশের নামিদামি ব্যান্ডের কন্সার্ট/কনসার্ট হয়।",SUST
সাস্টে পহেলা বৈশাখে কি কি হয়?,পহেলা বৈশাখে বিভিন্ন অনুষ্টান এর পাশাপাশি বিভিন্ন ডিপ্ট এর স্টল বসে। সকালে বর্ণাঢ্য র‍্যালি হয়। মেলাও বসে।,SUST
সাস্টে কি ঢাবির মতো টিএসসি টাইপ কিছু আছে?,হুম। তবে সেটা টিএসসির মতো এত বড় নয়। এটার না হল ইউসি(ইউনিভার্সিটি সেন্টার),SUST
সাস্টের আই আই সিটি বিল্ডিং এ কি কি ডিপ্ট/ ডিপার্টমেন্ট আছে?,"ইইই,সিএসই,সফটওয়্যার ইঞ্জিনিয়ারিং",SUST
সাস্টে কয়টা একাডেমিক বিল্ডিং আছে?,"৬ টা(আই আই সিটি,এ,বি,সি,ডি,ই বিল্ডিং)",SUST
সাস্টে কি কি কোটা আছে?,ভিজিট http://admission.sust.edu এবং প্রস্পেকটাস চেক করুন।,SUST
সাস্টে কয়টা কোক্যারিকুলার ক্লাব আছে?,৩০+ হবে।,SUST
সাস্টের কো্ক্যারিকুলার অ্যাক্টিভিটিস কেমন?,"৩০+ এর মতো ক্লাব আছে। এখানে ফোটোগ্রাফি থেকে শুরু করে একেবার ক্যারিয়ার,গান,বাজনা,সাইন্স,আইটি,ভলেন্টিয়ারিং সব টাইপের ক্লাব আছে।",SUST
সাস্টের কয়টা নিজস্ব ব্যান্ড আছে?,২টা,SUST
সাস্টে কি কোনো ইংলিশ স্পিকিং ক্লাব আছে?,হুম আছে ।,SUST
সিলেটে টিউশনির বাজারদর কেমন?,বাংলা মিডিয়াম পড়ালে ৩০০০+ থেকে শুরু করে ৫০০০ পর্যন্ত পাওয়া যায়। আর ইংরেজি মিডিয়াম পড়ালে ৮-১০ হাজার ও পাওয়া যায়। তবে ক্ষেত্রবিশেষে বাড়তেও পারে।,SUST
সিলেটে টিউশনিতে কেমন বেতন/পেমেন্ট দেয়?,বাংলা মিডিয়াম পড়ালে ৩০০০+ থেকে শুরু করে ৫০০০ পর্যন্ত পাওয়া যায়। আর ইংরেজি মিডিয়াম পড়ালে ৮-১০ হাজার ও পাওয়া যায়। তবে ক্ষেত্রবিশেষে বাড়তেও পারে।,SUST
সিলেটে হল এ থাকা বেটার নাকি মেস এ?,হলে থাকতে গেলে কিছুটা পলিটিক্সের সাথে জড়াতে হয় তবে মেসে থাকলে এইসব ঝামেলা পোহাতে হয় না।কিন্তু খরচ কিছুটা বেশি হয় হলের তুলনায়।,SUST
সিলেটে কি মেস এভেইলেবল পাওয়া যায়?,হুম সাস্টের বেশিরভাগ স্টুডেন্ট ই মেস এ থাকে।,SUST
সাস্টের ট্রান্সপোর্ট এর অবস্থা কেমন? সব সময় বাস থাকে?,"সকালে ৭ টা থেকে ১০ টা,দুপুর ১২টা,১টা,বিকাল ৪টা,৫টা,রাত ৮টায় বাস ক্যাম্পাস থেকে ছাড়ে। তবে ছাত্রছাত্রীর তুলনায় বাসের সংখ্যার কিছুটা ঘাটতি রয়েছে।",SUST
সাস্টে কি কোনো আন্ডারগ্র্যাড অলিম্পিয়াড হয়?,"সাস্টে ম্যাথ,ফিজিক্স,কেমিস্টি ছাড়াও আরো কিছু কিছু ডিপার্টমেন্টে আন্ডারগ্র্যাড অলিম্পিয়াড হয়।",SUST
ঢাকা ভার্সিটির/ঢাবি বিবিএ ১ম বর্ষের রেগুলার ক্লাস কখন থেকে হবে কেউ কাইন্ডলি বলতে পারেন?,মোবাইলে মেসেজ যাবে,DU
সাংবাদিক হতে হলে কি subject নিয়ে পড়তে হবে এবং কোন গ্রুপ থেকে কেউ জানলে পুরো details বলবেন প্লিজ।,journalism & mass communication,DU
career option হিসেবে কোন subject টা better হবে??,যেকোনো সাব্জেক্ট ই মোটামুটি ভালো।একেকটার ডিমান্ড একেক রকম,DU
ডিউ/ঢাবি তে ভর্তি হতে কি কি কাগজপত্র লাগবে?,একেক ডিপ্টে ভর্তি হতে একেক কাগজপত্র লাগবে বিস্তারিত এর জন্যে বড় ভাইয়ের হেল্প নাও কিনবা ভিজিট http://admission.eis.du.ac.bd/,DU
কোচিং না করে কি ঢাবি তে ডি/ঘ ইউনিটে চান্স পাওয়া কি সম্ভব?,হুম অব্যশই সম্ভব,DU
ঢাবির কেমিস্ট্রি ডিপার্টমেন্টের ভর্তির বিজ্ঞপতিটা কেও দিতে পারবেন?,ভিজিট http://admission.eis.du.ac.bd/,DU
ঢাবির লেথার ইঞ্জিনিয়ারিং এ ভর্তি হতে কত টাকা লাগবে?,ভিজিট http://admission.eis.du.ac.bd/ এবং চেক নোটিশ,DU
ঢাবির ফিজিক্স ডিপার্টমেন্টে কি ভর্তির নোটিশ দিসে?,ভিজিট http://admission.eis.du.ac.bd/,DU
ঢাবিতে এক্সাম দিতে হলে এইচএসসি এবং এসএসসি মিলে টোটাল কত মার্ক লাগে?,ভিজিট http://admission.eis.du.ac.bd/ এবং চেক নোটিশ,DU
সাংবাদিক হতে হলে কি সাবজেক্ট নিয়ে পড়তে হবে এবং কোন গ্রুপ থেকে কেউ জানলে পুরো details বলবেন প্লিজ।,journalism & mass communication,DU
ক্যারিয়ার অপশন হিসেবে কোন সাবজেক্ট টা বেটার হবে??,যেকোনো সাব্জেক্ট ই মোটামুটি ভালো।একেকটার ডিমান্ড একেক রকম,DU
ডিউ/ঢাবি তে ভর্তি হতে কি কি কাগজপত্র লাগবে?,একেক ডিপ্টে ভর্তি হতে একেক কাগজপত্র লাগবে বিস্তারিত এর জন্যে বড় ভাইয়ের হেল্প নাও কিনবা ভিজিট http://admission.eis.du.ac.bd/,DU
কোচিং না করে কি ঢাবি তে ডি/ঘ ইউনিটে চান্স পাওয়া কি সম্ভব?,হুম অব্যশই সম্ভব,DU
ঢাবির কেমিস্ট্রি ডিপার্টমেন্টের ভর্তির বিজ্ঞপতিটা কেও দিতে পারবেন?,ভিজিট http://admission.eis.du.ac.bd/,DU
ঢাবির লেথার ইঞ্জিনিয়ারিং এ ভর্তি হতে কত টাকা লাগবে?,ভিজিট http://admission.eis.du.ac.bd/ এবং চেক নোটিশ,DU
ঢাবির ফিজিক্স ডিপার্টমেন্টে কি ভর্তির নোটিশ দিসে?,ভিজিট http://admission.eis.du.ac.bd/,DU
ঢাবিতে এক্সাম দিতে হলে এইচএসসি এবং এসএসসি মিলে টোটাল কত মার্ক লাগে?,ভিজিট http://admission.eis.du.ac.bd/ এবং চেক নোটিশ,DU
কুয়েটে ডিপ্লোমাতে ও কি ৪ পেয়ে পাশ করতে হবে?,ডিপ্লমা এবং এইচএসসির জন্য সমভাবে প্রযোজ্য,KUET
কুয়েটে কয়জনকে পরীক্ষা দিতে দেওয়া হবে?,চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন কুয়েট অথবা চেক করুন http://kuet.ac.bd/ গিয়ে এডমিশন সেকশনে সার্চ করুন,KUET
কুয়েটে পদার্থ রসায়ন গনিত ও ইংরেজিতে কি এস.এস.সি ও এইচ.এস.সি দুইটা মিলাইয়া ১৮ নাকি?,চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন কুয়েট অথবা চেক করুন http://kuet.ac.bd/ গিয়ে এডমিশন সেকশনে সার্চ করুন,KUET
ভাই KUET/কুয়েটে এ এবার থেকে রিটেন চালু হচ্ছে এটা কতোটুকু সত্য??,চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন কুয়েট অথবা চেক করুন http://kuet.ac.bd/ গিয়ে এডমিশন সেকশনে সার্চ করুন,KUET
কুয়েটে আবেদন করতে কত টাকা লাগবে?,চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন কুয়েট অথবা চেক করুন http://kuet.ac.bd/ গিয়ে এডমিশন সেকশনে সার্চ করুন,KUET
ভার্সিটির জন্য কোচিং করে কুয়েটের আশা করা যেতে পারে?,হুম অব্যশই বেসিক ক্লিয়ার থাকলে যেকোনো যায়গায় কোচিং করেও চান্স পাওয়া সম্ভব,KUET
কুয়েট এর কি আলাদা প্রশ্নব্যাংক আছে?,নিকটস্থ লাইব্রেরিতে সন্ধান করুন,KUET
কুয়েটে পি সি ছাড়া আবেদন করা যাবে না??,না বিস্তারিত চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন কুয়েট অথবা চেক করুন http://kuet.ac.bd/ গিয়ে এডমিশন সেকশনে সার্চ করুন,KUET
আমার এসএসসি তে ৪ । আমি কি কুয়েটে এক্সাম দিতে পারব?,চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন কুয়েট অথবা চেক করুন http://kuet.ac.bd/ গিয়ে এডমিশন সেকশনে সার্চ করুন,KUET
কুয়েটে এডমিশন টেস্ট দিতে চাইলে কত পয়েন্ট লাগে?,চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন কুয়েট অথবা চেক করুন http://kuet.ac.bd/ গিয়ে এডমিশন সেকশনে সার্চ করুন,KUET
ডিপ্লমা শেষ করে কি কুয়েটে এডমিশন টেস্ট দেওয়া যায়?,হুম দেয়া যায় বিস্তারিত চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন কুয়েট অথবা চেক করুন http://kuet.ac.bd/ গিয়ে এডমিশন সেকশনে সার্চ করুন,KUET
প্রত্যেক সাবজেক্টে কি আলাদা আলাদা পাশ করতে হবে কুয়েটে?,না। বিস্তারিত চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন কুয়েট অথবা চেক করুন http://kuet.ac.bd/ গিয়ে এডমিশন সেকশনে সার্চ করুন,KUET
কত পেলে মোটামুটি চান্স পাওয়ার প্রবাবিলিটি আছে কুয়েটে?,এইটা তো আসলে বলা সম্ভব না। তবে মোটামুটি ৭০% মার্কস থাকলে আশা করা যায়,KUET
ভাই সেকেন্ড টাইম কি দেয়া যাবে কুয়েটে?,না,KUET
ক্যালকুলেটর ইউজ করা যায় কুয়েটে?,হুম যাবে বিস্তারিত জানতে চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন কুয়েট অথবা চেক করুন http://kuet.ac.bd/ গিয়ে এডমিশন সেকশনে সার্চ করুন,KUET
কুয়েটে কি কোটা আছে?,হুম আছে বিস্তারিত চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন কুয়েট অথবা চেক করুন http://kuet.ac.bd/ গিয়ে এডমিশন সেকশনে সার্চ করুন,KUET
কুয়েটে লিখিত নাকি বহুনিরবচনি পরীক্ষা হয়?,বহুনিরবচনি হয় সাধারনত তাও বিস্তারিত চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন কুয়েট অথবা চেক করুন http://kuet.ac.bd/ গিয়ে এডমিশন সেকশনে সার্চ করুন,KUET
চান্স পাওয়ার জন্যে কুয়েটে কত মার্ক পাওয়া লাগে?,এইটা তো আসলে বলা সম্ভব না। তবে মোটামুটি ৭০% মার্কস থাকলে আশা করা যায়,KUET
কুয়েটের জন্যে কি শুধু নতুন সিলেবাস ফলো করব?,হুম অব্যশই নতুন সিলেবাস,KUET
কুয়েটের মার্কস ডিস্ট্রিবিউশন বলতে পারবেন কেউ?,চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন কুয়েট অথবা চেক করুন http://kuet.ac.bd/ গিয়ে এডমিশন সেকশনে সার্চ করুন,KUET
এবার কি ইংরেজি থাকবে কুয়েটে?,চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন কুয়েট অথবা চেক করুন http://kuet.ac.bd/ গিয়ে এডমিশন সেকশনে সার্চ করুন,KUET
আমি কি আমার ঘড়ি নিয়ে যেতে পারব কুয়েটের হলে?,হলে ঘড়ি থাকে এবং স্যারের টাইম বলে দেন জিজ্ঞেস করলে সো না নেয়া ই বেটার,KUET
কুয়েটে কি ওয়েটিং লিস্ট দেয়?,হুম দেয়,KUET
আমি কিভাবে সিউর হবো যে কুয়েটে কি আমি এক্সাম দিতে পারব কি না?,এক্সাম এর জন্যে সিলেক্টেড লিস্ট দিবে বিস্তারিত  চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন কুয়েট অথবা চেক করুন http://kuet.ac.bd/ গিয়ে এডমিশন সেকশনে সার্চ করুন,KUET
আমি কি কুয়েটে স্মার্ট ফোন দিয়ে এপ্লাই করতে পারব?,না করাটাই বেটার তাও বিস্তারিত  চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন কুয়েট অথবা চেক করুন http://kuet.ac.bd/ গিয়ে এডমিশন সেকশনে সার্চ করুন,KUET
কুয়েটের কোন কোন সাবজেক্ট আইইবি এপ্রোভড?,Check this http://www.iebbd.org/page/default.aspx?contentid=117&fbclid=IwAR3ObgJyJb5tCQ1r8q5BeiMKMHIg3pze24DkSHNFbnZ2KFzHGimuBcrzoi,KUET
বুয়েট থেকে বিএসসি ইন্জিনিয়ারিং করে বের হতে কয় বছর লাগে ??,মোটামুটি ৪ বছর,BUET
বুয়েটে কেমিক্যাল ইন্জিনিয়ারিং এ আসন সংখ্যা কত?,চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন বুয়েট অথবা চেক করুন http://www.buet.ac.bd/Home/Admission গিয়ে এডমিশন সেকশনে সার্চ করুন,BUET
ভাইয়া বুয়েটে কি পলিটেকনিক ছাত্র রা ভর্তি পরীক্ষা দিতে পারে আর পারলে কি রকম পয়েন্ট লাগে?,এইচএসসি বা তার সমমানের এক্সামের পয়েন্ট লাগবে,BUET
গণিত  রসায়ন পদার্থ  এসবে আলাদা আলাদা কত নম্বর পেতে হবে?,না বুয়েটে আলাদা আলাদা পাশ নেই,BUET
আমার গতবছর বুয়েটে এক্সাম দেয়ার  যোগ্যতা ছিল।  কিন্তু আমি ফর্ম তুলছিলাম না।  আমি কি এবার   পরীক্ষা দিতে পারবো??,না দিতে পারবে না যদি ইম্প্রুভমেন্ট দিয়ে এবারের পয়েন্ট তুলতে পার তাইলে দিতে পারবে,BUET
বুয়েট এর মাইগ্রেশন কি অটোমেটিক হয়?,হুম তোমার সাবজেক্ট চয়েস অনুযায়ী,BUET
বুয়েটে এক্সাম দেওয়ার জন্য এস এস সি রেজাল্ট এর কতটুকু গুরুত্ব রয়েছে??,চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন বুয়েট অথবা চেক করুন http://www.buet.ac.bd/Home/Admission গিয়ে এডমিশন সেকশনে সার্চ করুন,BUET
বুয়েটে পরীক্ষা দেওয়ার জন্য এস এস সি এবং এইচ এস সি মিলে কত পয়েন্ট লাগে?,চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন বুয়েট অথবা চেক করুন http://www.buet.ac.bd/Home/Admission গিয়ে এডমিশন সেকশনে সার্চ করুন,BUET
এসএসসি ও এইচ এস সি তে নূন্যতম কত জপিএ থাকলে বুয়েট এ ভর্তি পরিক্ষার ফরম তোলা যায়?,চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন বুয়েট অথবা চেক করুন http://www.buet.ac.bd/Home/Admission গিয়ে এডমিশন সেকশনে সার্চ করুন,BUET
২০১৮ সালে বুয়েটে ২২.৫ চেয়েছিল।ইম্প্রুভমেন্ট দিয়ে ২২.৫ পয়েন্ট তুলতে পারলে বুয়েটে পরীক্ষা দেয়ার জন্য মনোনীত হওয়া যাবে?নাকি ২০১৯ সালের নিয়ম অনুযায়ী পয়েন্ট লাগবে?,যে বছর পরীক্ষা দিবে ঐ বছরের পয়েন্ট লাগবে,BUET
IPE আর CIVIL এর মধ্যে কোনটা ব্যাটার অপশন?,দুইটাই ভালো এটা ডিপেন্ড করে তোমার প্যাশন এর উপর,BUET
আচ্ছা ভাই বুয়েটে কয়টি অনুষদ আছে এবং কি কি??,Check this http://www.buet.ac.bd/Department/Faculties,BUET
এইচএসসি তে উচ্চতর গণিত অপশনাল সাব্জেক্ট নিলে এটা কি বুয়েটে ভর্তির ক্ষেত্রে কোনো প্রভাব ফেলবে?,না,BUET
আমার এসএসসি আর এইচএসসি মিলে কত পয়েন্ট পেলে বুয়েটে এপ্লাই করতে পারব?,চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন বুয়েট অথবা চেক করুন http://www.buet.ac.bd/Home/Admission গিয়ে এডমিশন সেকশনে সার্চ করুন,BUET
বুয়েটে কম্পিউটার সায়েন্স এ কয়টা সিট আছে ?,সাধারনত ১২০ টা তাও চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন বুয়েট অথবা চেক করুন http://www.buet.ac.bd/Home/Admission গিয়ে এডমিশন সেকশনে সার্চ করুন,BUET
এসএসসি তে কত পয়েন্ট চায় বুয়েটে?,চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন বুয়েট অথবা চেক করুন http://www.buet.ac.bd/Home/Admission গিয়ে এডমিশন সেকশনে সার্চ করুন,BUET
বুয়েটে এক্সাম দিতে এসএসসি তে কি ম্যাথ এ প্লাস লাগবে?,একেকবছর একেকরকম রিকোয়ারমেন্ট লাগে বিস্তারিত চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন বুয়েট অথবা চেক করুন http://www.buet.ac.bd/Home/Admission গিয়ে এডমিশন সেকশনে সার্চ করুন,BUET
জেএসসির রেজাল্ট কি দেখবে বুয়েটে?,না তাও বিস্তারিত চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন বুয়েট অথবা চেক করুন http://www.buet.ac.bd/Home/Admission গিয়ে এডমিশন সেকশনে সার্চ করুন,BUET
বুয়েটে ২৩ নিয়ে কি এক্সামে এটেন্ড করা যাবে?,চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন বুয়েট অথবা চেক করুন http://www.buet.ac.bd/Home/Admission গিয়ে এডমিশন সেকশনে সার্চ করুন,BUET
ভাইয়া বুয়েটে যদি ইম্প্রোভমেন্ট দিয়ে আবার এক্সাম দিতে চাই তাইলে কি দেয়া যাবে?,হুম যাবে,BUET
আমি গত বছর বাংলা ও ইংরেজিতে প্লাস মিস থাকায় এপ্লাই করতে পারি নাই বুয়েটে। এইবছর কি এপ্লাই করতে পারব?,না দিতে পারবে না যদি ইম্প্রুভমেন্ট দিয়ে এবারের পয়েন্ট তুলতে পার তাইলে দিতে পারবে,BUET
বুয়েটে ক্যালকুলেটর ইউজ করতে দেয়?,হুম দেয় বিস্তারিত জানতে চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন বুয়েট অথবা চেক করুন http://www.buet.ac.bd/Home/Admission গিয়ে এডমিশন সেকশনে সার্চ করুন,BUET
কেমিস্ট্রি কোন কোন বই বেটার বুয়েট এডমিশন এর জন্য?,যেকোনো একটা মেইন বই ভালোমত ফলো করে বেসিক ক্লিয়ার রাখো,BUET
বুয়েটে কি সব ধরনের ক্যালকুলেটর ইউজ করা যায়?,হুম দেয় বিস্তারিত জানতে চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন বুয়েট অথবা চেক করুন http://www.buet.ac.bd/Home/Admission গিয়ে এডমিশন সেকশনে সার্চ করুন,BUET
কেসিও এমএস সিরিজের সব ক্যালকুলেটর কি বুয়েটে ইউজ করতে দেয়?,হুম দেয় বিস্তারিত জানতে চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন বুয়েট অথবা চেক করুন http://www.buet.ac.bd/Home/Admission গিয়ে এডমিশন সেকশনে সার্চ করুন,BUET
বুয়েটে এই বছর আর বিগত বছরের প্রশ্ন গুলা কি পাওয়া যাবে?,হুম দেয় বুয়েটের ওয়েবসাইটে চোখ রাখুন  http://www.buet.ac.bd/Home/Admission গিয়ে এডমিশন সেকশনে সার্চ করুন,BUET
ফর্ম তুলতে নূন্যতম যোগ্যতা কত লাগে বুয়েটে?,চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন বুয়েট অথবা চেক করুন http://www.buet.ac.bd/Home/Admission গিয়ে এডমিশন সেকশনে সার্চ করুন,BUET
বুয়েটে কোন সাবজেক্টে কত মার্ক করে থাকবে?,চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন বুয়েট অথবা চেক করুন http://www.buet.ac.bd/Home/Admission গিয়ে এডমিশন সেকশনে সার্চ করুন,BUET
বুয়েটে কি কোটা আছে?,হুম আছে তবে বিস্তারিত জানতে চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন বুয়েট অথবা চেক করুন http://www.buet.ac.bd/Home/Admission গিয়ে এডমিশন সেকশনে সার্চ করুন,BUET
বুয়টে  এক্সাম দিতে হলে কি ইম্প্রুভমেন্ট কি সব সাবজেক্টে দিতে হবে নাকি যেগুলাতে প্লাস মিস হইছে ওইগুলা দিলেই হবে?,যেগুলাতে প্লাস মিস হইছে,BUET
কোন ধরনের ম্যাথমেটিকাল প্রশ্ন বুয়েটে আসে?,বইয়ের উদাহরন এবং অনুশীলনী ভালোমত দেখে গেলেই অনেক কমন পাওয়া যায়,BUET
বুয়েট এক্সাম এ কি ইংরেজি সাবজেক্ট আছে?,হুম আছে,BUET
বুয়েটে কি সাইলেন্ট এক্সপেল আছে?,হুম আছে,BUET
এমসিকিউ তে কি পেন্সিল ইউজ করা যাবে?,এক্সাম হলে স্যার কে আস্ক করে নিও,BUET
বুয়েটের হলে কি হ্যান্ড ওয়াচ/ঘড়ি নিতে দেয়?,বুয়েটের এক্সাম হলে ঘড়ি থাকে অতএব আলাদা হাতঘড়ি নেয়ার প্রয়োজন নেই,BUET
বুয়েটে কি ওয়েটিং লিস্ট দেয়?,হুম দেয়,BUET
বুয়েটের মেডিকেল টেস্ট এ চোখ রিলেটেড প্রব্লেম থাকলে কি ঝামেলা করে?,না,BUET
বুয়েটে ভাইবা/সাবজেক্ট চয়েস/মেডিকেল টেস্ট এর তারিখ কি দিছে?,চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন বুয়েট অথবা চেক করুন http://www.buet.ac.bd/Home/Admission গিয়ে এডমিশন সেকশনে সার্চ করুন,BUET
এসএসসি তে আমার চতুর্থ সাবজেক্ট ছিল অ্যাগ্রিকালচার । আর এইচএসসি তে গনিত। আমি কি বুয়েটে এক্সাম দিতে পারব?,হুম পারবে,BUET
এইচএসসি তে জিপিএ ফাইভ না পেয়ে ও কেউ কি এবার এক্সাম দিতে পারসে?,Check this site http://www.buet.ac.bd/Home/Admission,BUET
বুয়েটে এপ্লাই করতে গ্রুপ সাবজেক্ট এ কত মার্কস পেতে হবে?,Check this site http://www.buet.ac.bd/Home/Admission,BUET
স্বপ্ন আমার বুয়েট কিন্তু এইচএসসি তে আসছে ৩.৯২ । আমি কি ইম্প্রুভমেন্ট দিয়ে এক্সাম দিতে পারব?,হুম পারবে যদি তুমি তাদের রিকোয়ারমেন্ট ফিলাপ করতে পার,BUET
বুয়েটে ৬০০ মার্কস এর মধ্যে কত পেলে আমি চান্স পেতে পারি?,এইটা তো আসলে বলা সম্ভব না। তবে মোটামুটি ৭০% মার্কস থাকলে আশা করা যায়,BUET
বুয়েটে ইমপ্রুভমেন্ট এক্সাম দেয়া যায়?,বুয়েটে ইম্প্রুভমেন্ট দিতে পারবে না তবে এইচএসসিতে ইম্প্রুভমেন্ট দিয়ে পরে  বুয়েটে এক্সাম দিতে পারবে।,BUET
বুয়েটের কোন কোন সাবজেক্ট আইইবি এপ্রোভড?,Check this http://www.iebbd.org/page/default.aspx?contentid=117&fbclid=IwAR3ObgJyJb5tCQ1r8q5BeiMKMHIg3pze24DkSHNFbnZ2KFzHGimuBcrzoi,BUET
চুয়েটে কি ইমপ্রুভমেন্ট দিয়ে এক্সাম দেয়া যায়?,হুম যাবে,CUET
কেউ কি ইংরেজি তে মাইনাস আর বাংলায় মাইনাস পাইলে চুয়েটে দিতে পারবে??,চোখ রাখুন https://www.admissionwar.com/ এবং সার্চ করুন চুয়েট অথবা চেক করুন https://www.cuet.ac.bd/admission গিয়ে এডমিশন সেকশনে সার্চ করুন,CUET
চুয়েটে আবেদনের পর পরীক্ষা দিতে পারব কি না সেইটা কখন জানা যাবে?,সিলেকশন লিস্ট দিয়ে দিবে সবসময় চোখ রাখবে,CUET
চুয়েটে নো সেকেন্ড টাইম?,না সেকেন্ড টাইম নেই,CUET
চুয়েটে কি সেকেন্ড টাইম আছে?,না সেকেন্ড টাইম নেই,CUET
ভাইয়া ক্যালকুলেটরের পিছনের অংশ কি খুলে রেখে দিবে...? ওখানে এটা চার্ট থাকে যে,রেখে দিতে পারে,CUET
চুয়েটে প্রশ্নের সেট আলাদা হবে??? আর হলে কয়টা সেট হবে????,আলাদা হবে নির্দিষ্ট কোনো সংখ্যা নেই,CUET
চুয়েটে আবেদন এর যোগ্যতা বলবেন প্লিজ?,চোখ রাখুন https://www.admissionwar.com/ এবং সার্চ করুন চুয়েট অথবা চেক করুন https://www.cuet.ac.bd/admission গিয়ে এডমিশন সেকশনে সার্চ করুন,CUET
চুয়েটে এইবার পুরোটা এমসিকিউ?,হুম এমসিকিউ হয় তাও বিস্তারিত জানতে চোখ রাখুন https://www.admissionwar.com/ এবং সার্চ করুন চুয়েট অথবা চেক করুন https://www.cuet.ac.bd/admission গিয়ে এডমিশন সেকশনে সার্চ করুন,CUET
