question,answer,university
Marks distribution in KUET?, চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন কুয়েট অথবা চেক করুন http://kuet.ac.bd/ গিয়ে এডমিশন সেকশনে সার্চ করুন ,KUET
English toh may be thakbe na taile eibar KUET e?, চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন কুয়েট অথবা চেক করুন http://kuet.ac.bd/ গিয়ে এডমিশন সেকশনে সার্চ করুন ,KUET
Can i bring my watch in KUET Exam hall? , হলে ঘড়ি থাকে এবং স্যারের টাইম বলে দেন জিজ্ঞেস করলে সো না নেয়া ই বেটার,KUET
Do KUET prefer waiting list? ,হুম দেয়,KUET
How can i ensure my selection in KUET? ,এক্সাম এর জন্যে সিলেক্টেড লিস্ট দিবে বিস্তারিত  চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন কুয়েট অথবা চেক করুন http://kuet.ac.bd/ গিয়ে এডমিশন সেকশনে সার্চ করুন ,KUET
Amar ssc result 4.89 r. HSC 5.00 but hsc te  English e B asce ami ki BUET e  application korte parbo, চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন বুয়েট অথবা চেক করুন http://www.buet.ac.bd/Home/Admission গিয়ে এডমিশন সেকশনে সার্চ করুন,BUET
how many seat in BUET for Computer Science????,  সাধারনত ১২০ টা তাও চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন বুয়েট অথবা চেক করুন http://www.buet.ac.bd/Home/Admission গিয়ে এডমিশন সেকশনে সার্চ করুন,BUET
ssc te koto point chay buet???, চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন বুয়েট অথবা চেক করুন http://www.buet.ac.bd/Home/Admission গিয়ে এডমিশন সেকশনে সার্চ করুন,BUET
ssc teo ki math e plus lgbe buet e exam dite hole?, চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন বুয়েট অথবা চেক করুন http://www.buet.ac.bd/Home/Admission গিয়ে এডমিশন সেকশনে সার্চ করুন,BUET
BUET e ki jsc result Ki dekhbe?,না তাও বিস্তারিত চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন বুয়েট অথবা চেক করুন http://www.buet.ac.bd/Home/Admission গিয়ে এডমিশন সেকশনে সার্চ করুন,BUET
IPE and CIVIL er moddhe kunta better hobe BUET e?, দুইটাই ভালো এটা ডিপেন্ড করে তোমার প্যাশন এর উপর,BUET
BUET e koyta faculty ache and ki ki? , Check this http://www.buet.ac.bd/Department/Faculties,BUET
vaia 23 nie ki xm e attend kora jabe? ki mone hoy?, দুইটাই ভালো এটা ডিপেন্ড করে তোমার প্যাশন এর উপর,BUET
HSC te Higher Math optional nile BUET e vortir khetre kunu effect felbe?,না ,BUET
BUET e computer Science e koyta seat ase?, সাধারনত ১২০ টা তাও চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন বুয়েট অথবা চেক করুন http://www.buet.ac.bd/Home/Admission গিয়ে এডমিশন সেকশনে সার্চ করুন,BUET
BUET theke BSC Engineering kore ber hote koto year lagbe?,৪ বছর,BUET
BUET e chemical Engineering e seat koyta?, চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন বুয়েট অথবা চেক করুন http://www.buet.ac.bd/Home/Admission গিয়ে এডমিশন সেকশনে সার্চ করুন,BUET
BUET e ki polytechnic er student ra exam dite pare?, হুম দিতে পারে,BUET
Math Chemistry Physics e alada alada koto mark pete hobe BUET e ?, না আলাদা পাশের নিয়ম নেই বুয়েটে,BUET
ami goto year e BUET e form tuli nai. Ei year ki form tulte parbo?, না দিতে পারবে না যদি ইম্প্রুভমেন্ট দিয়ে এবারের পয়েন্ট তুলতে পার তাইলে দিতে পারবে,BUET
BUET e kun dept e koyta seat ache?,চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন বুয়েট অথবা চেক করুন http://www.buet.ac.bd/Home/Admission গিয়ে এডমিশন সেকশনে সার্চ করুন,BUET
BUET e ki automatic migration hoy?,হুম তোমার সাবজেক্ট চয়েস অনুযায়ী,BUET
brother kew improve diye jodi exam deyar joggo hoy tahole 2 nd bar exam dite parbe BUET e ?, হুম পারবে,BUET
amar goto bar phy.che.math a +thaka sotteo bangla o english a a thakar karone buet a apply e korte pari nai...ami ki abosor apply korte parbo BUET e ?, না দিতে পারবে না যদি ইম্প্রুভমেন্ট দিয়ে এবারের পয়েন্ট তুলতে পার তাইলে দিতে পারবে,BUET
Buet aa calculator use kortay dey??, হুম দেয় বিস্তারিত জানতে চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন বুয়েট অথবা চেক করুন http://www.buet.ac.bd/Home/Admission গিয়ে এডমিশন সেকশনে সার্চ করুন,BUET
chemistry kon kon boi better BUET admission jnno?, যেকোনো একটা মেইন বই ভালোমত ফলো করে বেসিক ক্লিয়ার রাখো,BUET 
buet ki sob dhoronar calculator use kora jay?, হুম দেয় বিস্তারিত জানতে চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন বুয়েট অথবা চেক করুন http://www.buet.ac.bd/Home/Admission গিয়ে এডমিশন সেকশনে সার্চ করুন,BUET
casio ms 570 buet exam hall e nite dai na?, হুম দেয় বিস্তারিত জানতে চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন বুয়েট অথবা চেক করুন http://www.buet.ac.bd/Home/Admission গিয়ে এডমিশন সেকশনে সার্চ করুন,BUET
buet er ei bochorer ar bigoto bochorer question gula pete pari?,  হুম দেয় বুয়েটের ওয়েবসাইটে চোখ রাখুন http://www.buet.ac.bd/Home/Admission গিয়ে এডমিশন সেকশনে সার্চ করুন,BUET
BUET e form tolar nunnotomo joggota koto mark lage?, চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন বুয়েট অথবা চেক করুন http://www.buet.ac.bd/Home/Admission গিয়ে এডমিশন সেকশনে সার্চ করুন,BUET
Kon subject e koto mark er kore xm hbe BUET e ??, চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন বুয়েট অথবা চেক করুন http://www.buet.ac.bd/Home/Admission গিয়ে এডমিশন সেকশনে সার্চ করুন,BUET
BUET e admission result er sathe SSC/HSC  ta paowa mark r kon jog hobe ki??, চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন বুয়েট অথবা চেক করুন http://www.buet.ac.bd/Home/Admission গিয়ে এডমিশন সেকশনে সার্চ করুন,BUET
BUET e kono quota r sujog ache? As like freedom fighter?, হুম আছে বিস্তারিত জানতে চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন বুয়েট অথবা চেক করুন http://www.buet.ac.bd/Home/Admission গিয়ে এডমিশন সেকশনে সার্চ করুন,BUET
improve ki sob sub e dite hobe naki jegula te plus miss hobe sudhu ogulate,যেগুলাতে প্লাস মিস হইছে ,BUET
kon dhoroner mathmatical problem BUET a ashe plz explain, বইয়ের উদাহরন এবং অনুশীলনী ভালোমত দেখে গেলেই অনেক কমন পাওয়া যায়,BUET
english subjct ki buet exm e ace?,হুম আছে বিস্তারিত চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন বুয়েট অথবা চেক করুন http://www.buet.ac.bd/Home/Admission গিয়ে এডমিশন সেকশনে সার্চ করুন,BUET
goto year HSC te amr kom point thakay BUET e exam dite pari nai.ekhn ei year Improvement diye dite chaile ki ei year er point tulte hobe naki goto year er?,Current Year,BUET
keu ki english and banglay A- Paile exam dite parbe BUET e?, চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন বুয়েট অথবা চেক করুন http://www.buet.ac.bd/Home/Admission গিয়ে এডমিশন সেকশনে সার্চ করুন,BUET
Buet e ki silent expel ache? , হুম আছে ,BUET
BUET e Mcq te pencil use kora jabe? , এক্সাম হলে স্যার কে আস্ক করে নিও,BUET
Buet er jonno ssc & hsc te koto point lage ??, চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন বুয়েট অথবা চেক করুন http://www.buet.ac.bd/Home/Admission গিয়ে এডমিশন সেকশনে সার্চ করুন,BUET
Hall e ki hand watch nite dey?, বুয়েটের এক্সাম হলে ঘড়ি থাকে অতএব আলাদা হাতঘড়ি নেয়ার প্রয়োজন নেই,BUET
Any waiting list at buet? , হুম দেয়,BUET
buet er medical test e eye related problem thakle kono jamela hoy ki? amar right eye (-8.00) left eye (-5.50), না সমস্যা হবে না,BUET
BUET VIVA/SUBJ CHOICE/MEDICAL TEST ER DATE DIYESE??, চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন বুয়েট অথবা চেক করুন http://www.buet.ac.bd/Home/Admission গিয়ে এডমিশন সেকশনে সার্চ করুন,BUET
ssc ta 4.22. 4 subject agriculture cilo..hsc ta math aca.ami jodi hsc ta A+ pai toba ki buet a admisson dita parbo, হুম পারবে চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন বুয়েট অথবা চেক করুন http://www.buet.ac.bd/Home/Admission গিয়ে এডমিশন সেকশনে সার্চ করুন,BUET
H.S.C te 5.00 na peye kaw aber buet e exam dita parache ??,Check this site http://www.buet.ac.bd/Home/Admission,BUET
Buet a apply korte grp sub gulay kmn marks lage,Check this site http://www.buet.ac.bd/Home/Admission,BUET
Buet e ki improvement diye xm deya jay?, হুম যাবে,BUET
Sopno amr buet kintu 2018 te hsc te asce 3.92 . Tai ami improve dite cassi. Improve diye gpa 5 and buet a chance pawa somvob? , হুম পারবে যদি তুমি তাদের রিকোয়ারমেন্ট ফিলাপ করতে পার,BUET
BUET a 600 marks ar modho koto marks pele ami chance pete pari???,এইটা তো আসলে বলা সম্ভব না। তবে মোটামুটি ৭০% মার্কস থাকলে আশা করা যায় ,BUET
CUET e improve xm deewa jai?, হুম যাবে,CUET
phy r chem e + misss..cuet e ki dea jabe?,  চোখ রাখুন https://www.admissionwar.com/ এবং সার্চ করুন চুয়েট অথবা চেক করুন https://www.cuet.ac.bd/admission গিয়ে এডমিশন সেকশনে সার্চ করুন,CUET
vai ami madrasar manobik er student...  ami ki cuet er kono unit e porikkha dite parbo?, হুম পারবে যদি তুমি রিকোয়ারমেন্ট ফিলাপ করতে পার,CUET
Vaiya ssc te golden&hsc te eng e A- & baki all sub e plus hoile ki cuet e xm dea jabe?,চোখ রাখুন https://www.admissionwar.com/ এবং সার্চ করুন চুয়েট অথবা চেক করুন https://www.cuet.ac.bd/admission গিয়ে এডমিশন সেকশনে সার্চ করুন,CUET
jader 18 tara ki xm dite parbe cuet a?,  চোখ রাখুন https://www.admissionwar.com/ এবং সার্চ করুন চুয়েট অথবা চেক করুন https://www.cuet.ac.bd/admission গিয়ে এডমিশন সেকশনে সার্চ করুন,CUET
keu ki english and banglay A- Paile exam dite parbe CUET e?,চোখ রাখুন https://www.admissionwar.com/ এবং সার্চ করুন চুয়েট অথবা চেক করুন https://www.cuet.ac.bd/admission গিয়ে এডমিশন সেকশনে সার্চ করুন,CUET
4.83 (phy A+ nai ) cuet e ki addmisn test dewa jbe?,  চোখ রাখুন https://www.admissionwar.com/ এবং সার্চ করুন চুয়েট অথবা চেক করুন https://www.cuet.ac.bd/admission গিয়ে এডমিশন সেকশনে সার্চ করুন,CUET
total phy che math eng e koto hle exam CUET e xm dea jabe.aktu blben?,  চোখ রাখুন https://www.admissionwar.com/ এবং সার্চ করুন চুয়েট অথবা চেক করুন https://www.cuet.ac.bd/admission গিয়ে এডমিশন সেকশনে সার্চ করুন,CUET
cuet e ki silent expel hoi?, হুম আছে,CUET
Apply korar por exam dite parbo kina oita kokhon jana jabe CUET er?, সিলেকশন লিস্ট দিয়ে দিবে সবসময় চোখ রাখবে,CUET
CUET e ki second time ache?,না,CUET
eibar ki CUET e full MCQ exam hobe?, এমসিকিউ,CUET
Calculator pichoner part ki khule rekhe dibe CUET e?,রেখে দিতে পারে,CUET
CUET e question set koyta hoy?, আলাদা হবে নির্দিষ্ট কোনো সংখ্যা নেই,CUET
2 ta calculator ki neya  jabe CUET e?, হুম যাবার কথা,CUET 
sob sit ke cuet hobe na kono college a  sit porbe.?, চুয়েটেই হবে,CUET
Amr chemistry te miss.  Ami ki parbo CUET e xm dite???,  চোখ রাখুন https://www.admissionwar.com/ এবং সার্চ করুন চুয়েট অথবা চেক করুন https://www.cuet.ac.bd/admission গিয়ে এডমিশন সেকশনে সার্চ করুন,CUET
ami to banglai miss krsi.select hobo CUET e exam dear jonne?,  চোখ রাখুন https://www.admissionwar.com/ এবং সার্চ করুন চুয়েট অথবা চেক করুন https://www.cuet.ac.bd/admission গিয়ে এডমিশন সেকশনে সার্চ করুন,CUET
Amr 18 eng r phy miss select hbo CUET e exam dear jonne?,  চোখ রাখুন https://www.admissionwar.com/ এবং সার্চ করুন চুয়েট অথবা চেক করুন https://www.cuet.ac.bd/admission গিয়ে এডমিশন সেকশনে সার্চ করুন,CUET
CUET e 70 ta mcq 10 for each mcq???am i right??3.30 hours????,  চোখ রাখুন https://www.admissionwar.com/ এবং সার্চ করুন চুয়েট অথবা চেক করুন https://www.cuet.ac.bd/admission গিয়ে এডমিশন সেকশনে সার্চ করুন,CUET
19 point der ki asa ache CUET e?,  চোখ রাখুন https://www.admissionwar.com/ এবং সার্চ করুন চুয়েট অথবা চেক করুন https://www.cuet.ac.bd/admission গিয়ে এডমিশন সেকশনে সার্চ করুন,CUET
ques type ki? written naki mcq CUET E???,এমসিকিউ  চোখ রাখুন https://www.admissionwar.com/ এবং সার্চ করুন চুয়েট অথবা চেক করুন https://www.cuet.ac.bd/admission গিয়ে এডমিশন সেকশনে সার্চ করুন,CUET
Calculator use er bepare kisu bola ase ki ES plus use kora jabe CUET e?, যাবার কথা না তবুও  চোখ রাখুন https://www.admissionwar.com/ এবং সার্চ করুন চুয়েট অথবা চেক করুন https://www.cuet.ac.bd/admission গিয়ে এডমিশন সেকশনে সার্চ করুন,CUET
Vaiya kon model er calculator use kora jabe CUET???, এমএস মডেলের ক্যাল্কুলেটর ইউজ করতে পারার কথা তবুও  চোখ রাখুন https://www.admissionwar.com/ এবং সার্চ করুন চুয়েট অথবা চেক করুন https://www.cuet.ac.bd/admission গিয়ে এডমিশন সেকশনে সার্চ করুন,CUET
Vaiya...amr phy n eng e A ase..chem n math e A+. Amr xm dite parar possibility kototuku CUET e ??,  চোখ রাখুন https://www.admissionwar.com/ এবং সার্চ করুন চুয়েট অথবা চেক করুন https://www.cuet.ac.bd/admission গিয়ে এডমিশন সেকশনে সার্চ করুন,CUET
Cuet er kon kon subject ieb approved???,Check this http://www.iebbd.org/page/default.aspx?contentid=117&fbclid=IwAR3ObgJyJb5tCQ1r8q5BeiMKMHIg3pze24DkSHNFbnZ2KFzHGimuBcrzoiI,CUET
RUET e form tolar nunnotomo joggota koto mark lage?, একেক বছর একেক রিকোয়ারমেন্ট লাগে চেক https://www.admissionwar.com/ এবং সার্চ করুন রুয়েট অথবা চেক করুন http://www.ruet.ac.bd/admission/ গিয়ে এডমিশন সেকশনে সার্চ করুন,RUET
Kon subject e koto mark er kore xm hbe RUET e?, একেক বছর একেক রকম হয় চেক https://www.admissionwar.com/ এবং সার্চ করুন রুয়েট অথবা চেক করুন http://www.ruet.ac.bd/admission/ গিয়ে এডমিশন সেকশনে সার্চ করুন,RUET
RUET e Calculator ki use kora jabe? , চেক https://www.admissionwar.com/ এবং সার্চ করুন রুয়েট অথবা চেক করুন http://www.ruet.ac.bd/admission/ গিয়ে এডমিশন সেকশনে সার্চ করুন,RUET
RUET e Time limit kotokkhn? , চেক https://www.admissionwar.com/ এবং সার্চ করুন রুয়েট অথবা চেক করুন http://www.ruet.ac.bd/admission/ গিয়ে এডমিশন সেকশনে সার্চ করুন,RUET
RUET e Koytate miss hole exam dewa jabe na?, একেক বছর একেক রিকোয়ারমেন্ট লাগে চেক https://www.admissionwar.com/ এবং সার্চ করুন রুয়েট অথবা চেক করুন http://www.ruet.ac.bd/admission/ গিয়ে এডমিশন সেকশনে সার্চ করুন,RUET  
RUET e sobar jnno ki ektai set? ,কি বলছো আমি বুঝতে পারি নি,RUET
RUET e Marks distribution ta kmn hobe? , একেক বছর একেক রকম হয় চেক https://www.admissionwar.com/ এবং সার্চ করুন রুয়েট অথবা চেক করুন http://www.ruet.ac.bd/admission/ গিয়ে এডমিশন সেকশনে সার্চ করুন,RUET
RUET e Written naki mcq hobe bhai? ,রিটেন হয় তারপরেও চেক https://www.admissionwar.com/ এবং সার্চ করুন রুয়েট অথবা চেক করুন http://www.ruet.ac.bd/admission/ গিয়ে এডমিশন সেকশনে সার্চ করুন,RUET
RUET e Kon calculator nile kono jhamela nei?,  চেক https://www.admissionwar.com/ এবং সার্চ করুন রুয়েট অথবা চেক করুন http://www.ruet.ac.bd/admission/ গিয়ে এডমিশন সেকশনে সার্চ করুন,RUET
RUET e Hall instructor ra ki help kore?  ,হুম অবশ্যই করে,RUET
Can someone give the whole procedure of the selection round in RUET?, চেক https://www.admissionwar.com/ এবং সার্চ করুন রুয়েট অথবা চেক করুন http://www.ruet.ac.bd/admission/ গিয়ে এডমিশন সেকশনে সার্চ করুন,RUET 
Do RUET prefer new syllabus? ,হুম ,RUET
How much time I will get in RUET exam?, একেক বছর একেক রকম থাকে চেক https://www.admissionwar.com/ এবং সার্চ করুন রুয়েট অথবা চেক করুন http://www.ruet.ac.bd/admission/ গিয়ে এডমিশন সেকশনে সার্চ করুন,RUET 
RUET e ki Waiting list available?  ,হুম ,RUET
Is there any chance for second timer in RUET?,না ,RUET







